d,s
2025-05-27,23258.310546875
2025-05-28,23573.380859375
2025-05-29,23289.76953125
2025-06-01,23157.970703125
2025-06-02,23512.490234375
2025-06-03,23654.029296875
2025-06-04,23906.970703125
2025-06-05,23792.5390625
2025-06-08,24181.4296875
2025-06-09,24162.869140625
2025-06-10,24366.939453125
2025-06-11,24035.380859375
2025-06-12,23892.560546875
2025-06-15,24060.990234375
2025-06-16,23980.30078125
2025-06-17,23710.689453125
2025-06-18,23237.740234375
2025-06-19,23530.48046875
2025-06-22,23689.130859375
2025-06-23,24177.0703125
2025-06-24,24474.669921875
2025-06-25,24325.400390625
2025-06-26,24284.150390625
2025-06-29,24072.279296875
2025-07-01,24221.41015625
2025-07-02,24069.939453125
2025-07-03,23916.060546875
2025-07-06,23887.830078125
2025-07-07,24148.0703125
2025-07-08,23892.3203125
2025-07-09,24028.369140625
2025-07-10,24139.5703125
2025-07-13,24203.3203125
2025-07-14,24590.119140625
2025-07-15,24517.759765625
2025-07-16,24498.94921875
2025-07-17,24825.66015625
2025-07-20,24994.140625
2025-07-21,25130.029296875
2025-07-22,25538.0703125
2025-07-23,25667.1796875
2025-07-24,25388.349609375
2025-07-27,25562.130859375
2025-07-28,25524.44921875
2025-07-29,25176.9296875
2025-07-30,24773.330078125
2025-07-31,24507.810546875
2025-08-03,24733.44921875
2025-08-04,24902.529296875
2025-08-05,24910.630859375
2025-08-06,25081.630859375
2025-08-07,24858.8203125
2025-08-10,24906.810546875
2025-08-11,24969.6796875
2025-08-12,25613.669921875
2025-08-13,25519.3203125
2025-08-14,25270.0703125
2025-08-17,25176.849609375
2025-08-18,25122.900390625
2025-08-19,25165.939453125
2025-08-20,25104.609375
2025-08-21,25339.140625
2025-08-24,25829.91015625
2025-08-25,25524.919921875
2025-08-26,25201.759765625
2025-08-27,24998.8203125
2025-08-28,25077.619140625
2025-08-31,25617.419921875
2025-09-01,25496.55078125
2025-09-02,25343.4296875
2025-09-03,25058.509765625
2025-09-04,25417.98046875
2025-09-07,25633.91015625
2025-09-08,25938.130859375
2025-09-09,26200.259765625
2025-09-10,26086.3203125
2025-09-11,26388.16015625
2025-09-14,26446.560546875
2025-09-15,26438.509765625
2025-09-16,26908.390625
2025-09-17,26544.849609375
2025-09-18,26545.099609375
2025-09-21,26344.140625
2025-09-22,26159.119140625
2025-09-23,26518.650390625
2025-09-24,26484.6796875
